AI CYBERATTACK,DATE ARTICLE,DESCRIPTION (ABSTRACT),KEYWORDS (5 ),SECTOR,SOURCE  URL,THREAT ACTOR,TITLE,TYPE OF INCIDENT
No,1/10/2019,"Cyber-criminals used a big game huntingâ€ strategy to target a large firm with Ryuk ransomware. Darktrace AI detected anomalous activity by learning the firmâ€™s normalâ€ behavior and flagged unusual admin access. Attackers compromised admin credentials, then deployed TrickBot as a loader and C&C channel. Ryuk encrypted over 200,000 files in just 12 hours, culminating in a 36-hour attack before the network was shut down to contain the damage. If Autonomous Response (Antigena) had been active, it could have neutralized the threat within seconds, preventing most of the damage.",Big Game Hunting; Ryuk; TrickBot; Autonomous Response; Anomaly Detection,Others,https://www.darktrace.com/blog/big-game-hunting-how-ryuk-ransomware-takes-down-its-imposing-targets/,Ryuk,Ryuk Ransomware Targeting Major Companies | Expert Analysis,Ransomware
No,1/10/2024,"The Evil Corp cybercrime group was sanctioned by the US, UK, and Australia, with new designations targeting individuals and entities connected to the operation. The US also unsealed an indictment against one of its members for deploying the BitPaymer ransomware strain. Sanctions include asset freezes and a ban for US, UK, and Australian entities from transacting with designated individuals. The indictment alleges the use of BitPaymer since at least mid-2017, involving encryption of victim files and ransom demands. These actions signal heightened international coordination in targeting transnational cybercrime.",Evil Corp; BitPaymer; sanctions; ransomware indictment; cybercrime coordination,"Information, Communication And Digital",https://www.bleepingcomputer.com/news/security/evil-corp-hit-with-new-sanctions-bitpaymer-ransomware-charges/,BitPaymer,"Evil Corp hit with new sanctions, BitPaymer ransomware charges",Ransomware
No,1/11/2023,A massive cybercrime URL shortening service was uncovered. It enabled large-scale malware distribution campaigns. Attackers used shortened links to trick victims. The service facilitated phishing and fraud. Researchers call for stricter controls on such platforms.,URL Shortening;Cybercrime;Phishing;Malware;Fraud,Others,https://thehackernews.com/2023/11/dns-abuse-exposes-prolific-pumas.html,Prolific Puma,Dns Abuse Exposes Prolific Pumas.Html,Others
No,1/11/2023,"The Mozi IoT botnet, known for compromising routers, DVRs, and other internet devices, abruptly ceased operations after a mysterious kill-switch payload was delivered on September 27, 2023. The payload deactivated the malware, disabled services like sshd and dropbear, replaced the original Mozi binary, executed configuration commands, and blocked certain network ports. Despite the shutdown, the payload maintained persistence and could ping a remote server for tracking. ESET analysis found it shared code structure and correct signature keys with the initial Mozi binaries, suggesting the takedown may have been carried out by the original creators or Chinese law enforcement. The shutdown is seen as a deliberate, calculated operation rather than a random failure.","Mozi, kill switch, IoT botnet, takedown, ESET",Others,https://www.bleepingcomputer.com/news/security/mozi-malware-botnet-goes-dark-after-mysterious-use-of-kill-switch/,Mozi,Mozi malware botnet goes dark after mysterious use of kill-switch,Botnet
No,1/11/2024,The Los Angeles Housing Authority confirmed a data breach following a ransomware attack by the Cactus group. Attackers claimed responsibility and published stolen data on their leak site after the breach. The compromised information included sensitive data related to the authorityâ€™s operations and residents. Officials stated that investigations and remediation efforts were underway to contain the impact. This case highlights the continued targeting of public service organizations by ransomware groups.,"Cactus ransomware, Los Angeles Housing Authority, data breach, ransomware attack, public sector",Government,https://www.bleepingcomputer.com/news/security/la-housing-authority-confirms-breach-claimed-by-cactus-ransomware/,Cactus,LA Housing Authority confirms breach claimed by Cactus ransomware,Ransomware
No,1/12/2020,"New malicious NPM packages masquerading as a legitimate tool were discovered that install the njRAT remote access trojan, giving hackers full remote control over a computer.","njRAT, remote access trojan, NPM, malware, malicious packages","Information, Communication And Digital",https://www.bleepingcomputer.com/news/microsoft/malicious-npm-packages-used-to-install-njrat-remote-access-trojan/,NJRat,Malicious NPM packages used to install njRAT remote access trojan,Others
No,1/12/2023,"A Chinese-speaking threat actor used phishing emails with decoy documents embedded in RAR archives to deliver SugarGh0st RAT to South Korean users and Uzbekistanâ€™s Ministry of Foreign Affairs. The campaign used heavily obfuscated JavaScript in Windows Shortcut files to drop a batch script, DLL loader, and encrypted RAT payload. The DLL was side-loaded via a legitimate rundll32.exe, and shellcode was launched via DynamicWrapperX in the second infection chain. SugarGh0st established C2 communication, allowing system metadata collection, reverse shell, and arbitrary command execution.",SugarGh0st RAT; decoy documents; Windows Shortcut; DynamicWrapperX; reverse shell,Government,https://thehackernews.com/2023/12/chinese-hackers-using-sugargh0st-rat-to.html?utm_source=chatgpt.com,SugarGh0st RAT,Chinese Hackers Using SugarGh0st RAT to Target South Korea and Uzbekistan,Phishing
No,1/2/2025,"The U.S. Department of Justice, working with international law enforcement, shut down underground Dark Web forums linked to cybercrime operations. Saim Razaâ€™s HeartSender network had been operating since 2020, selling phishing kits and fraud tools. The operation, in coordination with the Dutch National Police, seized 39 domains. A separate international action, dubbed Operation Talent, dismantled the Crackedâ€ and Nulledâ€ marketplaces, which were tied to cybercrimes against at least 17 million U.S. victims. Cracked alone had around 4 million users, $4 million in revenue, and over 28 million cybercrime ads; Nulled, active since 2016, had 5 million users, $1 million per year, over 43 million ads, and its administrator Lucas Sohn faces criminal charges.",Saim Raza; HeartSender; Cracked; Nulled; Operation Talent,"Information, Communication And Digital",https://www.darkreading.com/cybersecurity-operations/doj-cybercrime-forums-attacks-17m-americans,Saim Raza,DoJ Shutters Cybercrime Forums Behind Attacks on 17M Americans,Others
No,1/4/2025,"The infection starts with a deceptive email containing a RAR archive named CitaciÃ³n por embargo de cuenta,â€ enticing Spanish-speaking users to open it.","DCRat, Rhadamanthys, multi-stage chain, obfuscation, RunPE","Information, Communication And Digital",https://www.bleepingcomputer.com/news/security/we-smell-a-dcrat-revealing-a-sophisticated-malware-delivery-chain/,DCRat,We Smell a (DC)Rat: Revealing a Sophisticated Malware Delivery Chain,Malware
No,1/5/2025,"RansomHubâ€™s chat infrastructure and data-leak site have been inactive since March 31, indicating that the ransomware-as-a-service group has abruptly gone dark. Security researchers at Group-IB reported the operation has been inactive since April 1. GuidePoint Security noted internal disagreements between administrators and affiliates led some affiliates to divert communications to rival platforms. Soon after, the rival RaaS group DragonForce announced an invitation for RansomHub to migrate to its ransomware cartel platform, although itâ€™s unclear whether this is a serious proposal or opportunistic trolling. If the cessation is permanent, it marks a notable halt of a previously aggressive RaaS group that emerged during law enforcement disruptions of LockBit and ALPHV.","RansomHub, chat infrastructure, data-leak site, internal disagreements, DragonForce","Information, Communication And Digital",https://www.darkreading.com/cyber-risk/prolific-ransomhub-operation-goes-dark,RansomHub,Prolific RansomHub Operation Goes Dar,Ransomware
No,1/6/2022,"U.S. federal agencies, including the FBI, CISA, U.S. Department of Treasury, and FinCEN, issued a joint advisory strongly urging organisations not to pay ransom demands by the Karakurt gang, as it will not prevent stolen data from being sold. Karakurt, identified as the data extortion arm of the Conti ransomware gang, steals data and threatens to publish it online, demanding ransoms from $25,000 to $13 million. To pressure victims, Karakurt harasses business partners and employees, and is also known for exaggerating the quantity and value of stolen data","karakurt, extortion, data leaks, U.S. government, Conti",Others,https://www.bleepingcomputer.com/news/security/us-govt-paying-karakurt-extortion-ransoms-won-t-stop-data-leaks/,Karakurt,US govt: Paying Karakurt extortion ransoms wonâ€™t stop data leaks,Others
No,1/7/2020,"Hackers associated with Evil Corp compromised dozens of U.S. newspaper websites owned by the same entity, injecting malicious JavaScript that displayed fake software update alerts via the SocGholish framework. When employees at over 30 major U.S. firms visited these compromised news sites, they risked downloading malware, which enabled initial access. This technique facilitated further network intrusion through the deployment of tools like Cobalt Strike, credential dumping, and the disabling of security software such as Windows Defender. The ultimate goal appeared to be ransomware deploymentspecifically, WastedLockerthough Symantec intervened and prevented its execution. The campaign demonstrates how trusted media websites can be weaponized in supply-chainâ€“style attacks to indirectly target enterprise networks.","SocGholish drive-by attack, Fake software update alerts, Evil Corp infrastructure compromise, Newspaper website malware injection, WastedLocker ransomware staging","Information, Communication And Digital",https://www.bleepingcomputer.com/news/security/dozens-of-us-news-sites-hacked-in-wastedlocker-ransomware-attacks/,Evil Corp,Dozens of US news sites hacked in WastedLocker ransomware attacks,Compromised Credential
No,1/7/2020,"The Evil Corp gang compromised dozens of U.S. newspaper websites to distribute malicious JavaScript (SocGholish). The JS displayed fake software update alerts to infect visitors and deploy WastedLocker ransomware. Infected employeesâ€™ computers served as footholds into over 30 major U.S. private firms. Symantec confirmed the browser-based drive-by attacks and alerted the media company to remove the injected code. Key targeted sectors included manufacturing, IT, and telecommunications.",Evil Corp; SocGholish; WastedLocker; fake update; drive-by,"Information, Communication And Digital",https://www.bleepingcomputer.com/news/security/dozens-of-us-news-sites-hacked-in-wastedlocker-ransomware-attacks/,SocGholish,Dozens of US news sites hacked in WastedLocker ransomware attacks,Ransomware
No,1/9/2023,Security researchers analyze the EternalBlue exploit in depth. It was a key tool in major ransomware campaigns like WannaCry. The exploit abused vulnerabilities in Windows SMB protocol. Its legacy shows how a single exploit can have global impact. Ongoing patching and awareness are critical in preventing reuse.,EternalBlue;Exploit;WannaCry;Windows SMB;Patching,"Information, Communication And Digital",https://securityaffairs.com/150220/hacking/unraveling-eternalblue-exploit.html,Wanna Cry,Unraveling Eternalblue Exploit.Html,Others
No,10/2/2025,"A global law enforcement operation, codenamed Phobos Aetor, led to the arrest of two suspected Phobos ransomware hackers in Phuket, Thailand. The suspects two Russian men are accused of extorting $16 million in Bitcoin and attacking over 1,000 victims worldwide. Coordinated raids across four locations resulted in the seizure of laptops, smartphones, and cryptocurrency wallets for forensic analysis. Swiss authorities requested the arrests, as the suspects are believed to have targeted at least 17 Swiss companies between April 2023 and October 2024, stealing data and encrypting systems. Simultaneously, the dark web negotiation and data-leak sites of 8Base were seized, displaying a law enforcement banner indicating seizure by Bavarian State Criminal Police on behalf of Bambergâ€™s Public Prosecutor.",Phobos Aetor; Phobos; 8Base; site seizure; law enforcement,"Information, Communication And Digital",https://www.bleepingcomputer.com/news/legal/police-arrests-2-phobos-ransomware-suspects-seizes-8base-sites/,8base,"Police arrests 2 Phobos ransomware suspects, seizes 8Base sites",Ransomware
No,10/2/2025,"This is a report on a coordinated international law enforcement operation that led to the arrest of four Russian nationals believed to be leaders of the 8Base ransomware group. The group used the Phobos ransomware to victimize over 1,000 public and private entities, extorting more than $16 million. Authorities also seized over 27 servers and the group's data leak and negotiation sites. The operation, codenamed 'Phobos Aetor,' was conducted in Thailand with the assistance of law enforcement agencies from 14 countries.","Phobos, 8Base, Ransomware, Law Enforcement, Cybercrime",Banking And Finance,https://www.bleepingcomputer.com/news/legal/police-arrests-2-phobos-ransomware-suspects-seizes-8base-sites/,Phobos,"Police arrests 2 Phobos ransomware suspects, seizes 8Base sites",Ransomware
No,10/3/2025,"Microsoft researchers reported that the North Korea-linked APT group Moonstone Sleet deployed Qilin ransomware in limited attacks since February 2025, marking their first use of third-party ransomware instead of custom tools.","Moonstone,Qilin,Ransomware,North Korea,APT",Banking And Finance,https://securityaffairs.com/175178/apt/north-korea-linked-apt-moonstone-used-qilin-ransomware.html,Qilin,North Korea-linked APT Moonstone used Qilin ransomware in limited attacks,Ransomware
No,10/4/2016,A tool has been created by a reverse engineer and BleepingComputer to generate a password that will decrypt files encrypted by the Petya ransomware.,"Petya, ransomware, encryption, password generator, decryption",Others,https://www.bleepingcomputer.com/news/security/petya-ransomwares-encryption-defeated-and-password-generator-released/,Petya,Petya Ransomware's Encryption Defeated and Password Generator Released,Ransomware
No,10/4/2021,"Over 500,000 Huawei users downloaded applications from the companyâ€™s official AppGallery that were infected with Joker malware, which then subscribed them to premium mobile services. Researchers from Doctor Web identified ten seemingly harmless appsincluding virtual keyboards, camera apps, and messengersthat contained code enabling them to connect to malicious command and control servers. These apps maintained their advertised functionality while secretly downloading components that subscribed users to services, using requested notification access to intercept SMS confirmation codes. The malware was capable of subscribing a user to a maximum of five services, a limit the threat actor could modify. These ten apps, predominantly from a single developer, were downloaded by more than 538,000 Huawei users. Following Doctor Web's report, Huawei removed these apps from AppGallery, though users who already have them installed need to perform a manual cleanup. The same Joker modules found in AppGallery were also present in other apps on Google Play. Joker malware has a long history, dating back to 2017, and has consistently infiltrated both Google Play and AppGallery, continually bypassing their defenses","Huawei AppGallery, Premium mobile services, SMS interception, Command and Control (C2), app infection, doctor web, mobile billing",Others,https://www.bleepingcomputer.com/news/security/joker-malware-infects-over-500-000-huawei-android-devices/,Joker,"Joker malware infects over 500,000 Huawei Android devices",Malware
No,10/5/2020,"A new Sodinokibi variant can encrypt files even when they're open or locked by other processes, expanding its scope of impact. It uses the Windows Restart Manager API to close such processes or services. The decryptor also leverages this API to ensure no file is locked during decryption. This feature ensures more thorough encryption while also easing decryption once a ransom is paid. It marks an evolution in the ransomware's operational sophistication.",Restart Manager API; encrypt open files; decryptor; locked files; process termination,"Information, Communication And Digital",https://www.bleepingcomputer.com/news/security/sodinokibi-ransomware-can-now-encrypt-open-and-locked-files/,Sodinokibi,Sodinokibi ransomware can now encrypt open and locked files,Ransomware
No,10/5/2024,"On December 24, 2023, unauthorized access was detected to the Ohio Lotteryâ€™s internal office network, though its gaming systems were not affected.","Ohio Lottery, ransomware, DragonForce, data breach, 538,959",Others,https://www.bleepingcomputer.com/news/security/ohio-lottery-ransomware-attack-impacts-over-538-000-individuals/,DragonForce,"Ohio Lottery ransomware attack impacts over 538,000 individuals",Ransomware
No,10/6/2019,"MuddyWater improved its PowerShell-based backdoor, POWERSTATS v3, enhancing its capabilities to take screenshots, execute PowerShell code, and commands. Deployed as a second-stage payload from compromised servers, it selectively infects targets deemed interesting.â€ Initial access uses spear-phishing with macro-laden Word documents that drop encoded PowerShell scripts to log OS info and contact C2 servers. The malware checks for GUID-named files on the server to proceed with further payloads. The campaigns span regions across Central/Southwest Asia, Europe, North America, and more, confirming MuddyWaterâ€™s broad reach and persistent targeting.","POWERSTATS v3, backdoor, spear-phishing, macro, multi-stage",Government,https://www.bleepingcomputer.com/news/security/muddywater-updates-powerstats-backdoor-for-multi-stage-attacks/,MuddyWater,MuddyWater Updates POWERSTATS Backdoor For Multi-Stage Attacks,Others
No,10/6/2024,"New QBot phishing campaigns leverage a combination of PDF and Windows Script File (WSF) attachments to bypass security filters and install malware on victims' systems, increasing infection rates.","QBot, Phishing, PDF, WSF, Malware",Others,https://www.bleepingcomputer.com/news/security/new-qbot-email-attacks-use-pdf-and-wsf-combo-to-install-malware/,Qbot,New QBot email attacks use PDF and WSF combo to install malware,Malware
No,10/7/2018,"The BlackTech advanced persistent threat (APT) group conducted a cyberespionage campaign by stealing and abusing a valid D-Link code-signing certificate. With this certificate, the attackers could sign malware to make it appear legitimate and trusted by security systems. The operation targeted technology firms and government agencies across Asia. Using trusted certificates allowed the attackers to infiltrate systems more effectively and avoid detection. This campaign demonstrates the serious risks posed by compromised digital certificates in espionage operations.","BlackTech APT, D-Link certificate, cyber espionage, malware signing, Asia-Pacific",Government,https://www.bleepingcomputer.com/news/security/blacktech-apt-steals-d-link-cert-for-cyber-espionage-campaign/,BlackTech,BlackTech APT steals D-Link cert for cyberespionage campaign,Others
No,10/7/2024,"A nascent ransomware group known as EstateRansomware has been exploiting a now-patched vulnerability in Veeam Backup & Replication software (CVE-2023-27532). Initial access was gained via a dormant account on a Fortinet FortiGate firewall SSL VPN appliance. The attackers then moved laterally through RDP to a failover server, deploying a persistent backdoor (svchost.exeâ€) set to run daily via a scheduled task. Using the backdoor, they executed reconnaissance and credential harvesting via tools like NetScan, AdFind, and NitSoft, enabled xp_cmdshell, and created a rogue user named VeeamBkp.â€ Finally, they disabled Windows Defender using DC.exe and deployed ransomware using PsExec.exe.",EstateRansomware; Veeam backup exploit; CVE-2023-27532; backdoor; double extortion,Others,https://thehackernews.com/2024/07/new-ransomware-group-exploiting-veeam.html,Akira,New Ransomware Group Exploiting Veeam Backup Software Vulnerability,Ransomware
No,10/9/2024,"The NoName ransomware gangalso known as CosmicBeetlehas been operating for over three years targeting small and medium-sized businesses globally and may now be acting as a RansomHub affiliate. The group employs custom Spacecolon malware tools and gains access via brute-force attacks and exploiting older vulnerabilities like EternalBlue (CVE-2017-0144) and ZeroLogon (CVE-2020-1472). Recently, they have deployed the ScRansom ransomware, replacing their earlier Scarab encryptor, and experimented with LockBit 3.0â€™s leaked builder to mimic that groupâ€™s data leak site and ransom notes. ESET researchers, who have tracked the gang since 2023, describe ScRansom as evolving but not as sophisticated as leading ransomware families. Despite the shift, the gang continues to refine its tools and strategies to escalate impact in its operations.","NoName, RansomHub, ScRansom, Spacecolon, vulnerabilities","Trade, Industry And Economy",https://www.bleepingcomputer.com/news/security/noname-ransomware-gang-deploying-ransomhub-malware-in-recent-attacks/,RansomHub,NoName ransomware gang deploying RansomHub malware in recent attacks,Ransomware
No,10/9/2025,"The article highlights the rise of zero-click vulnerabilities, which are described as increasingly dangerous and being exploited on mobile phones. The article compares their potential impact to that of the NotPetya ransomware attack. These vulnerabilities allow attackers to compromise a device without any interaction from the user.","NotPetya, Zero-click, Vulnerability, Mobile, Ransomware",Others,https://cybersecuritynews.com/mobile-notpetya/,NotPetya,Mobile NotPetyaâ€!! Surge in Zero-click Vulnerabilities,Others
No,10/9/2025,The NKAbuse malware uses cron jobs for persistence and leverages the NKN blockchain network for stealthy communication. It functions as both a flooder and a backdoor to steal data and launch DDoS attacks on Linux systems.,"NKAbuse, Linux, Cron job, Backdoor, DDoS","Information, Communication And Digital",https://gbhackers.com/nkabuse-malware-linux/,NKAbuse,NKAbuse Malware Attacking Linux Desktops & Use Corn Job for Persistence,Malware
No,11/1/2019,"On January 10, 2019, the City Hall of Del Rio, Texas was hit by a ransomware attack that prompted the Management Information Services (MIS) team to disconnect around 3045 computers from the internet to contain the threat.",Del Rio ransomware; City Hall disruption; manual workflow; phone-based ransom contact; government response,Government,https://www.bleepingcomputer.com/news/security/del-rio-city-hall-forced-to-use-paper-after-ransomware-attack/,BitPaymer,Del Rio City Hall Forced to Use Paper After Ransomware Attack,Ransomware
No,11/1/2023,Attacks targeting government agencies and military bodies in multiple countries across the Asia-Pacific region have been traced to a previously undocumented APT known as Dark Pink.,"Dark Pink, APT, custom malware, espionage, info-stealer",Government,https://www.bleepingcomputer.com/news/security/new-dark-pink-apt-group-targets-govt-and-military-with-custom-malware/,DarkPink,New Dark Pink APT group targets govt and military with custom malware,APT
No,11/12/2019,Zeppelin ransomware continues to target healthcare and IT companies. The malware encrypts sensitive systems multiple times. Victims face severe operational disruptions. Researchers secretly assisted in decryption for two years. The threat remains active despite mitigation efforts.,Zeppelin;Ransomware;Healthcare;IT;Encryption,Healthcare Services,https://www.bleepingcomputer.com/news/security/zeppelin-ransomware-targets-healthcare-and-it-companies/,Zeppelin,Zeppelin Ransomware Targets Healthcare And It Companies,Ransomware
No,11/2/2025,"A coordinated operation by FBI, Europol, NCA and international agencies seized the 8Base ransomware gang's dark-web data-leak and negotiation sites. The seizure banner replaced criminal content with law enforcement branding. Among agencies involved: Bavaria, Belgium, Czechia, France, Germany, Japan, Romania, Spain, Switzerland, Thailand, U.K., and U.S. Four European suspects were reportedly arrested. Authorities seized over 40 pieces of evidence, including mobile phones, laptops, and digital wallets, tied to Phobos ransomware attacks on 17 Swiss companies. The 8Base group is accused of earning $16 million through attacks on over 1,000 global victims.",ransomware; 8Base; Phobos; law enforcement takedown; double extortion,"Information, Communication And Digital",https://thehackernews.com/2025/02/8base-ransomware-data-leak-sites-seized.html,8base,"FBI, Europol, and NCA Take Down 8Base Ransomware Data Leak and Negotiation Sites",Ransomware
No,11/3/2021,Threat actors are now installing a new ransomware called 'DearCry' after hacking into Microsoft Exchange servers using the recently disclosed ProxyLogon vulnerabilities.,"DearCry, ProxyLogon, Microsoft Exchange, DoejoCrypt, msupdate","Information, Communication And Digital",https://www.bleepingcomputer.com/news/security/dearcry-ransomware-attacks-microsoft-exchange-with-proxylogon-exploits/,Dearcry,DearCry ransomware attacks Microsoft Exchange with ProxyLogon exploits,Ransomware
No,11/3/2021,"VMwareâ€™s Threat Analysis Unit analyzes Defray777, a Linux-based, command-line ransomware targeting VMware ESXi virtualized hosts, encrypting files recursively using hardcoded keys.","Defray777, RansomEXX, ESXi, VMware, Cobalt Strike","Information, Communication And Digital",https://blogs.vmware.com/security/2021/03/deconstructing-defray777.html,Defray777,Deconstructing Defray777 Ransomware,Ransomware
No,11/3/2025,"A Libya-linked threat actor known as Desert Dexterâ€ resurfaced, using politically charged Facebook ads to distribute phishing links and infect victims across the Middle East and North Africa. The campaign launched in September 2024 via fake news accounts and pages that mimicked legitimate outlets with urgent political content to bait clicks. Victims were lured into downloading RAR archives that delivered a customized version of AsyncRAT, equipped with an offline-enabled keylogger designed to target cryptocurrency wallet extensions (e.g., Coinbase, MetaMask) and wallet apps like Binance and Ledger Live. Researchers from Positive Technologies identified around 900 likely victims, approximately half of whom were Libyan; the remainder were in South Asia and North Africa and included individuals from industries like agriculture, construction, IT, and oil production. This campaign demonstrates how emotive political content and social media advertising are being weaponized to bypass detection and reach sensitive individual targets.","Desert Dexter, AsyncRAT, Facebook political ads, phishing, cryptocurrency wallet theft",Others,https://www.darkreading.com/cyberattacks-data-breaches/hot-button-facebook-ads-middle-east-africa-victims,AsyncRat,Desert Dexter' Hot Button Facebook Ads Tag Mideast Victims,Phishing
No,11/4/2024,"DarkVault is a new ransomware group whose website closely resembles LockBitâ€™s, leading to speculation it may be a rebranding of the notorious LockBit RaaS gang.","DarkVault, LockBit, ransomware, copycat, rebranding","Information, Communication And Digital",https://www.scworld.com/news/lockbit-copycat-darkvault-spurs-rebranding-rumor,DarkVault,LockBit copycat DarkVault spurs rebranding rumor,Ransomware
No,11/8/2022,The FBI warns Zeppelin ransomware may encrypt devices multiple times. This tactic increases damage and ransom pressure. Healthcare and IT remain primary targets. Authorities recommend robust backup and recovery strategies. The campaign highlights evolving ransomware tactics.,FBI;Zeppelin;Ransomware;Encryption;Healthcare,Healthcare Services,https://www.bleepingcomputer.com/news/security/fbi-zeppelin-ransomware-may-encrypt-devices-multiple-times-in-attacks/,Zeppelin,Fbi Zeppelin Ransomware May Encrypt Devices Multiple Times In Attacks,Ransomware
No,12/10/2022,"In September 2022, Formbook remained the most prevalent malware, affecting 3% of organizations globally. Vidar, an infostealer designed to steal sensitive information such as banking details and login credentials, entered the top ten most prevalent malware list, rising seven places from August. This surge in Vidar's prevalence was attributed to a malicious campaign involving fake Zoom websites, such as zoomus[.]website and zoom-download[.]space, which lured users into downloading the malware. The Education and Research sector was notably impacted by these cyberattacks.","Formbook, Vidar, Infostealer, cyberattack, Education sector",Education,https://www.checkpoint.com/press-releases/september-2022s-most-wanted-malware-formbook-on-top-while-vidar-zooms-seven-places/,Formbook,September 2022â€™s Most Wanted Malware: Formbook on Top While Vidar â€˜Zoomsâ€™ Seven Places,Infostealer
No,12/11/2024,"Additional data stolen through the 2023 MOVEit attacks continues to surface, detailing how third-party breaches led to extensive downstream compromise. Organizations not directly using MOVEit still suffered exposure due to vendor connections. The incident illustrates severe supply chain vulnerability stemming from file-transfer software. Experts consider it the most significant cyberattack of the year. The wave of breaches showcases systemic systemic risk across industries.","MOVEit ripple, supply chain, third-party breach, data exposure, systemic risk","Information, Communication And Digital",https://www.computerweekly.com/news/366615522/More-data-stolen-in-2023-MOVEit-attacks-comes-to-light,MOVEit,More data stolen in 2023 MOVEit attacks comes to light,Others
No,12/11/2024,"The MOVEit vulnerability (CVE-2023-34362) at a third-party property-management vendor exposed Amazon employee data, including work email addresses, desk phone numbers, and building locations. Importantly, Amazon confirmed its own systems remained secure and no sensitive information, such as SSNs or financial data, was compromised. Analysts noted the ripple effect impacted over 2,700 organizations via MOVEit, making it one of the most substantial corporate data leaks of 2023. Cyber-threat intelligence called it a wake-up callâ€ for supply chain risk. Verizonâ€™s DBIR also noted that MOVEit-related breaches skewed its statistics for the year.","MOVEit, supply chain, vendor breach, employee data, CVE-2023-34362",Others,https://www.darkreading.com/cloud-security/amazon-employee-data-compromised-moveit-breach,MOVEit,Amazon Employee Data Compromised in MOVEit Breach,Others
No,12/11/2024,Volt Typhoon has rebuilt its malware botnet after the FBI previously disrupted its operations. The group is linked to Chinese state-backed cyber espionage. They target critical infrastructure and communication providers. The botnet uses stealth techniques to evade detection. This resurgence highlights the persistent threat from advanced APT groups.,Volt Typhoon;Botnet;FBI;Chinese APT;Infrastructure,"Information, Communication And Digital",https://www.bleepingcomputer.com/news/security/volt-typhoon-rebuilds-malware-botnet-following-fbi-disruption/,Volt Typhoon,Volt Typhoon Rebuilds Malware Botnet Following Fbi Disruption,Botnet
No,12/12/2022,"Recent months have seen a sharp increase in TrueBot downloader malware campaigns across the U.S. and Canada. Attackers are delivering novel variants via phishing emails with malicious links or by exploiting the Netwrix Auditor remote code execution vulnerability (CVE-2022-31199). Upon infection, TrueBot deploys RATs like FlawedGrace, sets up persistence, and often drops Cobalt Strike beacons or Teleport tools for lateral movement and data exfiltration. These attacks may also be delivered through worm-like platforms such as Raspberry Robin, enabling rapid propagation. Threat advisories from agencies like CISA, FBI, and the Canadian Cyber Centre urge organizations to patch vulnerable systems, enforce phishing-resistant multifactor authentication, and hunt for indicators of compromise.","TrueBot downloader, Netwrix Auditor exploit, FlawedGrace RAT, Phishing & RCE delivery, Cobalt Strike deployment","Information, Communication And Digital",https://www.spiceworks.com/it-security/security-general/news/truebot-downloader-malware-attacks-rising/,Evil Corp,"Truebot Malware Adopts New Tactics, Ramps Up Operations",Trojan
